tweet,location,request_type,urgency
Requesting Food & Supplies support in Srinagar. Please help.,Srinagar,Food & Supplies,Non-Urgent
Medical emergency reported in Agartala. Need Medical.,Agartala,Medical,Urgent
Urgent call for Food & Supplies aid in Kanpur.,Kanpur,Food & Supplies,Urgent
Community in Imphal asking for Humanitarian assistance.,Imphal,Humanitarian,Non-Urgent
Looking for volunteers in Mumbai for Humanitarian help.,Mumbai,Humanitarian,Non-Urgent
Urgent call for Medical aid in Kolkata.,Kolkata,Medical,Non-Urgent
Looking for volunteers in Pune for Humanitarian help.,Pune,Humanitarian,Urgent
Need immediate assistance in Thiruvananthapuram. Situation critical.,Thiruvananthapuram,Medical,Urgent
Requesting Medical support in Leh. Please help.,Leh,Medical,Urgent
Medical emergency reported in Leh. Need Medical.,Leh,Medical,Non-Urgent
"Supplies running low in Coimbatore, need Food & Supplies.",Coimbatore,Food & Supplies,Non-Urgent
"Family stranded in Coimbatore, require Food & Supplies.",Coimbatore,Food & Supplies,Non-Urgent
"Family stranded in Nagpur, require Food & Supplies.",Nagpur,Food & Supplies,Non-Urgent
Medical emergency reported in Jaipur. Need Food & Supplies.,Jaipur,Food & Supplies,Non-Urgent
Community in Chennai asking for Food & Supplies assistance.,Chennai,Food & Supplies,Non-Urgent
"Family stranded in Surat, require Humanitarian.",Surat,Humanitarian,Urgent
Requesting Food & Supplies support in Indore. Please help.,Indore,Food & Supplies,Non-Urgent
Requesting Food & Supplies support in Kochi. Please help.,Kochi,Food & Supplies,Non-Urgent
Requesting Food & Supplies support in Gurugram. Please help.,Gurugram,Food & Supplies,Non-Urgent
Need immediate assistance in Indore. Situation critical.,Indore,Humanitarian,Non-Urgent
Need immediate assistance in Kolkata. Situation critical.,Kolkata,Food & Supplies,Non-Urgent
Need immediate assistance in Hyderabad. Situation critical.,Hyderabad,Food & Supplies,Non-Urgent
"Family stranded in Jammu, require Medical.",Jammu,Medical,Urgent
Community in Delhi asking for Medical assistance.,Delhi,Medical,Urgent
Looking for volunteers in Noida for Food & Supplies help.,Noida,Food & Supplies,Non-Urgent
Children in Hyderabad require urgent Medical support.,Hyderabad,Medical,Urgent
"Family stranded in Gurugram, require Food & Supplies.",Gurugram,Food & Supplies,Non-Urgent
Urgent call for Food & Supplies aid in Ahmedabad.,Ahmedabad,Food & Supplies,Urgent
Urgent call for Medical aid in Leh.,Leh,Medical,Urgent
"Supplies running low in Pune, need Humanitarian.",Pune,Humanitarian,Urgent
"Supplies running low in Kochi, need Humanitarian.",Kochi,Humanitarian,Non-Urgent
Children in Agartala require urgent Humanitarian support.,Agartala,Humanitarian,Urgent
"Family stranded in Delhi, require Medical.",Delhi,Medical,Non-Urgent
Senior citizens need Medical assistance in Kanpur.,Kanpur,Medical,Non-Urgent
Children in Noida require urgent Humanitarian support.,Noida,Humanitarian,Non-Urgent
"Supplies running low in Bhopal, need Humanitarian.",Bhopal,Humanitarian,Non-Urgent
Need immediate assistance in Pune. Situation critical.,Pune,Humanitarian,Non-Urgent
"Supplies running low in Thiruvananthapuram, need Humanitarian.",Thiruvananthapuram,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Nagpur.,Nagpur,Medical,Non-Urgent
Looking for volunteers in Delhi for Food & Supplies help.,Delhi,Food & Supplies,Urgent
Need immediate assistance in Jaipur. Situation critical.,Jaipur,Medical,Urgent
Medical emergency reported in Mumbai. Need Humanitarian.,Mumbai,Humanitarian,Urgent
Urgent call for Humanitarian aid in Lucknow.,Lucknow,Humanitarian,Non-Urgent
"Family stranded in Ahmedabad, require Food & Supplies.",Ahmedabad,Food & Supplies,Urgent
"Family stranded in Aizawl, require Food & Supplies.",Aizawl,Food & Supplies,Non-Urgent
Need immediate assistance in Siliguri. Situation critical.,Siliguri,Humanitarian,Non-Urgent
Medical emergency reported in Noida. Need Medical.,Noida,Medical,Non-Urgent
"Supplies running low in Hyderabad, need Food & Supplies.",Hyderabad,Food & Supplies,Non-Urgent
"Supplies running low in Ahmedabad, need Humanitarian.",Ahmedabad,Humanitarian,Non-Urgent
Medical emergency reported in Noida. Need Medical.,Noida,Medical,Urgent
Community in Hyderabad asking for Humanitarian assistance.,Hyderabad,Humanitarian,Non-Urgent
Looking for volunteers in Coimbatore for Medical help.,Coimbatore,Medical,Non-Urgent
"Family stranded in Vadodara, require Food & Supplies.",Vadodara,Food & Supplies,Urgent
"Family stranded in Leh, require Food & Supplies.",Leh,Food & Supplies,Urgent
Medical emergency reported in Kochi. Need Food & Supplies.,Kochi,Food & Supplies,Non-Urgent
Looking for volunteers in Kanpur for Medical help.,Kanpur,Medical,Non-Urgent
"Family stranded in Kochi, require Medical.",Kochi,Medical,Urgent
Children in Siliguri require urgent Food & Supplies support.,Siliguri,Food & Supplies,Non-Urgent
Need immediate assistance in Gurugram. Situation critical.,Gurugram,Food & Supplies,Urgent
Community in Delhi asking for Medical assistance.,Delhi,Medical,Urgent
Looking for volunteers in Patna for Food & Supplies help.,Patna,Food & Supplies,Non-Urgent
Senior citizens need Humanitarian assistance in Pune.,Pune,Humanitarian,Urgent
Children in Noida require urgent Medical support.,Noida,Medical,Urgent
Urgent call for Humanitarian aid in Surat.,Surat,Humanitarian,Urgent
Looking for volunteers in Kolkata for Medical help.,Kolkata,Medical,Urgent
Looking for volunteers in Siliguri for Medical help.,Siliguri,Medical,Non-Urgent
Looking for volunteers in Warangal for Food & Supplies help.,Warangal,Food & Supplies,Non-Urgent
Medical emergency reported in Cuttack. Need Medical.,Cuttack,Medical,Non-Urgent
Community in Patna asking for Food & Supplies assistance.,Patna,Food & Supplies,Urgent
Medical emergency reported in Lucknow. Need Humanitarian.,Lucknow,Humanitarian,Urgent
Looking for volunteers in Chandigarh for Humanitarian help.,Chandigarh,Humanitarian,Urgent
Need immediate assistance in Cuttack. Situation critical.,Cuttack,Medical,Urgent
Need immediate assistance in Chandigarh. Situation critical.,Chandigarh,Humanitarian,Non-Urgent
Children in Warangal require urgent Medical support.,Warangal,Medical,Urgent
Community in Indore asking for Humanitarian assistance.,Indore,Humanitarian,Urgent
Children in Jammu require urgent Medical support.,Jammu,Medical,Urgent
Children in Gurugram require urgent Humanitarian support.,Gurugram,Humanitarian,Urgent
Looking for volunteers in Gurugram for Humanitarian help.,Gurugram,Humanitarian,Non-Urgent
"Supplies running low in Leh, need Medical.",Leh,Medical,Non-Urgent
Requesting Medical support in Cuttack. Please help.,Cuttack,Medical,Non-Urgent
Senior citizens need Medical assistance in Hyderabad.,Hyderabad,Medical,Urgent
Looking for volunteers in Chennai for Medical help.,Chennai,Medical,Urgent
Need immediate assistance in Bhubaneswar. Situation critical.,Bhubaneswar,Food & Supplies,Urgent
Medical emergency reported in Pune. Need Humanitarian.,Pune,Humanitarian,Non-Urgent
Community in Surat asking for Humanitarian assistance.,Surat,Humanitarian,Urgent
"Supplies running low in Cuttack, need Humanitarian.",Cuttack,Humanitarian,Non-Urgent
Medical emergency reported in Indore. Need Food & Supplies.,Indore,Food & Supplies,Urgent
Medical emergency reported in Itanagar. Need Medical.,Itanagar,Medical,Non-Urgent
"Supplies running low in Ranchi, need Food & Supplies.",Ranchi,Food & Supplies,Urgent
Community in Jaipur asking for Humanitarian assistance.,Jaipur,Humanitarian,Urgent
Community in Siliguri asking for Medical assistance.,Siliguri,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Shillong.,Shillong,Food & Supplies,Urgent
"Family stranded in Lucknow, require Humanitarian.",Lucknow,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Vadodara.,Vadodara,Food & Supplies,Urgent
Urgent call for Food & Supplies aid in Srinagar.,Srinagar,Food & Supplies,Urgent
"Supplies running low in Imphal, need Food & Supplies.",Imphal,Food & Supplies,Urgent
Senior citizens need Humanitarian assistance in Shillong.,Shillong,Humanitarian,Urgent
Requesting Food & Supplies support in Hyderabad. Please help.,Hyderabad,Food & Supplies,Urgent
Children in Chennai require urgent Medical support.,Chennai,Medical,Urgent
Urgent call for Medical aid in Delhi.,Delhi,Medical,Non-Urgent
Looking for volunteers in Mysuru for Humanitarian help.,Mysuru,Humanitarian,Urgent
Looking for volunteers in Udaipur for Medical help.,Udaipur,Medical,Non-Urgent
Requesting Humanitarian support in Aizawl. Please help.,Aizawl,Humanitarian,Urgent
Children in Lucknow require urgent Humanitarian support.,Lucknow,Humanitarian,Urgent
Children in Itanagar require urgent Medical support.,Itanagar,Medical,Urgent
Medical emergency reported in Delhi. Need Medical.,Delhi,Medical,Urgent
Children in Thiruvananthapuram require urgent Medical support.,Thiruvananthapuram,Medical,Urgent
Urgent call for Humanitarian aid in Imphal.,Imphal,Humanitarian,Urgent
Urgent call for Humanitarian aid in Chennai.,Chennai,Humanitarian,Urgent
Urgent call for Humanitarian aid in Bhopal.,Bhopal,Humanitarian,Urgent
Urgent call for Medical aid in Mumbai.,Mumbai,Medical,Urgent
Medical emergency reported in Noida. Need Medical.,Noida,Medical,Urgent
Looking for volunteers in Lucknow for Medical help.,Lucknow,Medical,Urgent
Children in Lucknow require urgent Food & Supplies support.,Lucknow,Food & Supplies,Urgent
Senior citizens need Food & Supplies assistance in Agartala.,Agartala,Food & Supplies,Non-Urgent
Community in Lucknow asking for Food & Supplies assistance.,Lucknow,Food & Supplies,Non-Urgent
Looking for volunteers in Srinagar for Medical help.,Srinagar,Medical,Urgent
"Family stranded in Indore, require Humanitarian.",Indore,Humanitarian,Non-Urgent
Requesting Food & Supplies support in Noida. Please help.,Noida,Food & Supplies,Urgent
Looking for volunteers in Cuttack for Humanitarian help.,Cuttack,Humanitarian,Non-Urgent
Children in Chennai require urgent Medical support.,Chennai,Medical,Non-Urgent
Children in Ahmedabad require urgent Food & Supplies support.,Ahmedabad,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Patna.,Patna,Food & Supplies,Urgent
Looking for volunteers in Mysuru for Medical help.,Mysuru,Medical,Urgent
"Family stranded in Kanpur, require Food & Supplies.",Kanpur,Food & Supplies,Urgent
Senior citizens need Food & Supplies assistance in Delhi.,Delhi,Food & Supplies,Non-Urgent
Senior citizens need Humanitarian assistance in Udaipur.,Udaipur,Humanitarian,Urgent
Community in Ahmedabad asking for Humanitarian assistance.,Ahmedabad,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Jaipur.,Jaipur,Medical,Urgent
Need immediate assistance in Itanagar. Situation critical.,Itanagar,Humanitarian,Non-Urgent
Looking for volunteers in Itanagar for Food & Supplies help.,Itanagar,Food & Supplies,Urgent
Looking for volunteers in Jaipur for Medical help.,Jaipur,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Srinagar.,Srinagar,Food & Supplies,Urgent
Community in Kolkata asking for Medical assistance.,Kolkata,Medical,Non-Urgent
"Supplies running low in Mysuru, need Food & Supplies.",Mysuru,Food & Supplies,Non-Urgent
"Family stranded in Bhubaneswar, require Food & Supplies.",Bhubaneswar,Food & Supplies,Non-Urgent
Children in Chennai require urgent Humanitarian support.,Chennai,Humanitarian,Urgent
Medical emergency reported in Udaipur. Need Medical.,Udaipur,Medical,Non-Urgent
Requesting Medical support in Coimbatore. Please help.,Coimbatore,Medical,Urgent
"Supplies running low in Bhopal, need Humanitarian.",Bhopal,Humanitarian,Urgent
Urgent call for Humanitarian aid in Coimbatore.,Coimbatore,Humanitarian,Urgent
"Supplies running low in Lucknow, need Humanitarian.",Lucknow,Humanitarian,Urgent
Medical emergency reported in Indore. Need Humanitarian.,Indore,Humanitarian,Non-Urgent
Requesting Food & Supplies support in Bhopal. Please help.,Bhopal,Food & Supplies,Urgent
Community in Mumbai asking for Humanitarian assistance.,Mumbai,Humanitarian,Urgent
"Family stranded in Lucknow, require Humanitarian.",Lucknow,Humanitarian,Urgent
Children in Cuttack require urgent Humanitarian support.,Cuttack,Humanitarian,Urgent
Community in Indore asking for Food & Supplies assistance.,Indore,Food & Supplies,Urgent
Need immediate assistance in Guwahati. Situation critical.,Guwahati,Medical,Urgent
Need immediate assistance in Gurugram. Situation critical.,Gurugram,Medical,Urgent
Children in Kolkata require urgent Medical support.,Kolkata,Medical,Non-Urgent
Looking for volunteers in Ranchi for Food & Supplies help.,Ranchi,Food & Supplies,Non-Urgent
Community in Kanpur asking for Food & Supplies assistance.,Kanpur,Food & Supplies,Non-Urgent
Community in Pune asking for Humanitarian assistance.,Pune,Humanitarian,Urgent
"Family stranded in Mysuru, require Humanitarian.",Mysuru,Humanitarian,Urgent
Need immediate assistance in Delhi. Situation critical.,Delhi,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Warangal.,Warangal,Food & Supplies,Urgent
Requesting Medical support in Delhi. Please help.,Delhi,Medical,Non-Urgent
Community in Kolkata asking for Humanitarian assistance.,Kolkata,Humanitarian,Non-Urgent
Need immediate assistance in Srinagar. Situation critical.,Srinagar,Medical,Urgent
Looking for volunteers in Nagpur for Medical help.,Nagpur,Medical,Urgent
Medical emergency reported in Vadodara. Need Humanitarian.,Vadodara,Humanitarian,Non-Urgent
Looking for volunteers in Siliguri for Medical help.,Siliguri,Medical,Urgent
Requesting Medical support in Hyderabad. Please help.,Hyderabad,Medical,Urgent
"Family stranded in Jammu, require Humanitarian.",Jammu,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Patna.,Patna,Food & Supplies,Urgent
Requesting Humanitarian support in Bhubaneswar. Please help.,Bhubaneswar,Humanitarian,Non-Urgent
Looking for volunteers in Indore for Humanitarian help.,Indore,Humanitarian,Non-Urgent
"Supplies running low in Mumbai, need Food & Supplies.",Mumbai,Food & Supplies,Non-Urgent
"Supplies running low in Mysuru, need Humanitarian.",Mysuru,Humanitarian,Non-Urgent
Medical emergency reported in Mumbai. Need Humanitarian.,Mumbai,Humanitarian,Non-Urgent
"Family stranded in Coimbatore, require Food & Supplies.",Coimbatore,Food & Supplies,Urgent
"Supplies running low in Surat, need Food & Supplies.",Surat,Food & Supplies,Urgent
"Family stranded in Ranchi, require Humanitarian.",Ranchi,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Shillong.,Shillong,Food & Supplies,Non-Urgent
"Family stranded in Bengaluru, require Humanitarian.",Bengaluru,Humanitarian,Non-Urgent
Looking for volunteers in Leh for Humanitarian help.,Leh,Humanitarian,Urgent
Looking for volunteers in Ahmedabad for Humanitarian help.,Ahmedabad,Humanitarian,Non-Urgent
"Family stranded in Bhubaneswar, require Food & Supplies.",Bhubaneswar,Food & Supplies,Non-Urgent
"Supplies running low in Kochi, need Medical.",Kochi,Medical,Urgent
Community in Coimbatore asking for Food & Supplies assistance.,Coimbatore,Food & Supplies,Non-Urgent
Requesting Humanitarian support in Noida. Please help.,Noida,Humanitarian,Non-Urgent
Looking for volunteers in Vadodara for Humanitarian help.,Vadodara,Humanitarian,Non-Urgent
Medical emergency reported in Kanpur. Need Medical.,Kanpur,Medical,Non-Urgent
Urgent call for Humanitarian aid in Agartala.,Agartala,Humanitarian,Non-Urgent
Need immediate assistance in Nagpur. Situation critical.,Nagpur,Medical,Non-Urgent
Children in Udaipur require urgent Humanitarian support.,Udaipur,Humanitarian,Urgent
Children in Kolkata require urgent Humanitarian support.,Kolkata,Humanitarian,Non-Urgent
"Supplies running low in Udaipur, need Medical.",Udaipur,Medical,Urgent
"Family stranded in Mysuru, require Food & Supplies.",Mysuru,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Jammu.,Jammu,Food & Supplies,Urgent
"Supplies running low in Aizawl, need Humanitarian.",Aizawl,Humanitarian,Urgent
Looking for volunteers in Guwahati for Medical help.,Guwahati,Medical,Non-Urgent
"Family stranded in Shillong, require Food & Supplies.",Shillong,Food & Supplies,Non-Urgent
Looking for volunteers in Bhopal for Medical help.,Bhopal,Medical,Non-Urgent
Urgent call for Food & Supplies aid in Shillong.,Shillong,Food & Supplies,Non-Urgent
Requesting Medical support in Ahmedabad. Please help.,Ahmedabad,Medical,Urgent
Senior citizens need Food & Supplies assistance in Patna.,Patna,Food & Supplies,Non-Urgent
Community in Bhopal asking for Medical assistance.,Bhopal,Medical,Urgent
Medical emergency reported in Guwahati. Need Humanitarian.,Guwahati,Humanitarian,Urgent
Medical emergency reported in Mysuru. Need Medical.,Mysuru,Medical,Urgent
Urgent call for Medical aid in Siliguri.,Siliguri,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Delhi.,Delhi,Food & Supplies,Non-Urgent
"Supplies running low in Surat, need Food & Supplies.",Surat,Food & Supplies,Non-Urgent
Looking for volunteers in Itanagar for Food & Supplies help.,Itanagar,Food & Supplies,Non-Urgent
"Family stranded in Imphal, require Medical.",Imphal,Medical,Non-Urgent
Need immediate assistance in Jammu. Situation critical.,Jammu,Food & Supplies,Non-Urgent
Need immediate assistance in Jaipur. Situation critical.,Jaipur,Humanitarian,Non-Urgent
Looking for volunteers in Surat for Medical help.,Surat,Medical,Non-Urgent
Children in Hyderabad require urgent Food & Supplies support.,Hyderabad,Food & Supplies,Non-Urgent
"Supplies running low in Bengaluru, need Humanitarian.",Bengaluru,Humanitarian,Non-Urgent
"Family stranded in Guwahati, require Food & Supplies.",Guwahati,Food & Supplies,Urgent
Senior citizens need Medical assistance in Srinagar.,Srinagar,Medical,Urgent
Senior citizens need Medical assistance in Bhubaneswar.,Bhubaneswar,Medical,Non-Urgent
"Family stranded in Jaipur, require Medical.",Jaipur,Medical,Non-Urgent
Urgent call for Medical aid in Leh.,Leh,Medical,Urgent
Need immediate assistance in Leh. Situation critical.,Leh,Humanitarian,Non-Urgent
Senior citizens need Humanitarian assistance in Delhi.,Delhi,Humanitarian,Non-Urgent
Community in Mumbai asking for Medical assistance.,Mumbai,Medical,Non-Urgent
Urgent call for Medical aid in Srinagar.,Srinagar,Medical,Urgent
Community in Bhopal asking for Food & Supplies assistance.,Bhopal,Food & Supplies,Non-Urgent
Requesting Food & Supplies support in Bhopal. Please help.,Bhopal,Food & Supplies,Non-Urgent
Medical emergency reported in Agartala. Need Humanitarian.,Agartala,Humanitarian,Non-Urgent
Need immediate assistance in Indore. Situation critical.,Indore,Food & Supplies,Non-Urgent
Community in Kolkata asking for Humanitarian assistance.,Kolkata,Humanitarian,Non-Urgent
Medical emergency reported in Indore. Need Medical.,Indore,Medical,Urgent
Senior citizens need Humanitarian assistance in Vadodara.,Vadodara,Humanitarian,Non-Urgent
Urgent call for Food & Supplies aid in Nagpur.,Nagpur,Food & Supplies,Non-Urgent
"Supplies running low in Ranchi, need Medical.",Ranchi,Medical,Non-Urgent
"Supplies running low in Nagpur, need Food & Supplies.",Nagpur,Food & Supplies,Urgent
"Supplies running low in Ranchi, need Food & Supplies.",Ranchi,Food & Supplies,Urgent
"Supplies running low in Ahmedabad, need Humanitarian.",Ahmedabad,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Chennai.,Chennai,Food & Supplies,Non-Urgent
"Supplies running low in Chennai, need Humanitarian.",Chennai,Humanitarian,Urgent
Need immediate assistance in Bengaluru. Situation critical.,Bengaluru,Food & Supplies,Non-Urgent
Requesting Food & Supplies support in Kochi. Please help.,Kochi,Food & Supplies,Urgent
Community in Srinagar asking for Medical assistance.,Srinagar,Medical,Urgent
Children in Chandigarh require urgent Humanitarian support.,Chandigarh,Humanitarian,Urgent
Medical emergency reported in Kochi. Need Medical.,Kochi,Medical,Non-Urgent
Children in Hyderabad require urgent Food & Supplies support.,Hyderabad,Food & Supplies,Non-Urgent
Looking for volunteers in Aizawl for Medical help.,Aizawl,Medical,Non-Urgent
Medical emergency reported in Patna. Need Humanitarian.,Patna,Humanitarian,Urgent
Looking for volunteers in Udaipur for Humanitarian help.,Udaipur,Humanitarian,Urgent
Looking for volunteers in Nagpur for Medical help.,Nagpur,Medical,Non-Urgent
Need immediate assistance in Bhubaneswar. Situation critical.,Bhubaneswar,Food & Supplies,Non-Urgent
Need immediate assistance in Warangal. Situation critical.,Warangal,Food & Supplies,Non-Urgent
Looking for volunteers in Guwahati for Medical help.,Guwahati,Medical,Non-Urgent
Children in Bengaluru require urgent Food & Supplies support.,Bengaluru,Food & Supplies,Non-Urgent
Looking for volunteers in Jaipur for Medical help.,Jaipur,Medical,Urgent
Need immediate assistance in Mumbai. Situation critical.,Mumbai,Medical,Urgent
Children in Gurugram require urgent Humanitarian support.,Gurugram,Humanitarian,Non-Urgent
Senior citizens need Humanitarian assistance in Bhubaneswar.,Bhubaneswar,Humanitarian,Urgent
Looking for volunteers in Jaipur for Food & Supplies help.,Jaipur,Food & Supplies,Non-Urgent
Community in Kochi asking for Humanitarian assistance.,Kochi,Humanitarian,Urgent
"Family stranded in Delhi, require Food & Supplies.",Delhi,Food & Supplies,Urgent
Children in Pune require urgent Food & Supplies support.,Pune,Food & Supplies,Non-Urgent
Need immediate assistance in Siliguri. Situation critical.,Siliguri,Food & Supplies,Urgent
Need immediate assistance in Chennai. Situation critical.,Chennai,Humanitarian,Non-Urgent
Children in Siliguri require urgent Humanitarian support.,Siliguri,Humanitarian,Urgent
"Supplies running low in Indore, need Humanitarian.",Indore,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Mumbai.,Mumbai,Food & Supplies,Urgent
Need immediate assistance in Gurugram. Situation critical.,Gurugram,Medical,Urgent
"Family stranded in Udaipur, require Food & Supplies.",Udaipur,Food & Supplies,Urgent
Children in Bhopal require urgent Food & Supplies support.,Bhopal,Food & Supplies,Non-Urgent
Need immediate assistance in Indore. Situation critical.,Indore,Medical,Non-Urgent
Children in Patna require urgent Humanitarian support.,Patna,Humanitarian,Urgent
"Family stranded in Agartala, require Humanitarian.",Agartala,Humanitarian,Non-Urgent
Urgent call for Medical aid in Itanagar.,Itanagar,Medical,Urgent
Senior citizens need Humanitarian assistance in Patna.,Patna,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Delhi.,Delhi,Food & Supplies,Urgent
Children in Gurugram require urgent Humanitarian support.,Gurugram,Humanitarian,Urgent
Requesting Food & Supplies support in Gurugram. Please help.,Gurugram,Food & Supplies,Non-Urgent
Need immediate assistance in Imphal. Situation critical.,Imphal,Medical,Non-Urgent
"Supplies running low in Indore, need Humanitarian.",Indore,Humanitarian,Non-Urgent
Community in Warangal asking for Medical assistance.,Warangal,Medical,Urgent
"Supplies running low in Hyderabad, need Food & Supplies.",Hyderabad,Food & Supplies,Urgent
Need immediate assistance in Ahmedabad. Situation critical.,Ahmedabad,Food & Supplies,Urgent
"Family stranded in Siliguri, require Medical.",Siliguri,Medical,Non-Urgent
"Supplies running low in Noida, need Humanitarian.",Noida,Humanitarian,Non-Urgent
Need immediate assistance in Udaipur. Situation critical.,Udaipur,Medical,Non-Urgent
"Family stranded in Srinagar, require Medical.",Srinagar,Medical,Non-Urgent
"Supplies running low in Surat, need Food & Supplies.",Surat,Food & Supplies,Urgent
Children in Ahmedabad require urgent Food & Supplies support.,Ahmedabad,Food & Supplies,Non-Urgent
Need immediate assistance in Jaipur. Situation critical.,Jaipur,Food & Supplies,Non-Urgent
Requesting Medical support in Thiruvananthapuram. Please help.,Thiruvananthapuram,Medical,Urgent
Community in Agartala asking for Humanitarian assistance.,Agartala,Humanitarian,Non-Urgent
Urgent call for Humanitarian aid in Leh.,Leh,Humanitarian,Non-Urgent
Requesting Medical support in Guwahati. Please help.,Guwahati,Medical,Non-Urgent
Medical emergency reported in Bhubaneswar. Need Humanitarian.,Bhubaneswar,Humanitarian,Urgent
Requesting Medical support in Thiruvananthapuram. Please help.,Thiruvananthapuram,Medical,Urgent
Community in Hyderabad asking for Food & Supplies assistance.,Hyderabad,Food & Supplies,Urgent
Senior citizens need Food & Supplies assistance in Mumbai.,Mumbai,Food & Supplies,Urgent
Urgent call for Food & Supplies aid in Jammu.,Jammu,Food & Supplies,Non-Urgent
Community in Hyderabad asking for Food & Supplies assistance.,Hyderabad,Food & Supplies,Urgent
Children in Lucknow require urgent Food & Supplies support.,Lucknow,Food & Supplies,Urgent
Children in Goa require urgent Humanitarian support.,Goa,Humanitarian,Non-Urgent
Urgent call for Medical aid in Jaipur.,Jaipur,Medical,Urgent
"Supplies running low in Warangal, need Medical.",Warangal,Medical,Non-Urgent
Senior citizens need Humanitarian assistance in Goa.,Goa,Humanitarian,Non-Urgent
Medical emergency reported in Hyderabad. Need Food & Supplies.,Hyderabad,Food & Supplies,Non-Urgent
Looking for volunteers in Imphal for Humanitarian help.,Imphal,Humanitarian,Urgent
"Supplies running low in Delhi, need Medical.",Delhi,Medical,Non-Urgent
Need immediate assistance in Jammu. Situation critical.,Jammu,Humanitarian,Urgent
Community in Thiruvananthapuram asking for Food & Supplies assistance.,Thiruvananthapuram,Food & Supplies,Urgent
Urgent call for Humanitarian aid in Ahmedabad.,Ahmedabad,Humanitarian,Non-Urgent
"Supplies running low in Itanagar, need Food & Supplies.",Itanagar,Food & Supplies,Non-Urgent
Need immediate assistance in Surat. Situation critical.,Surat,Food & Supplies,Non-Urgent
Children in Siliguri require urgent Food & Supplies support.,Siliguri,Food & Supplies,Non-Urgent
Children in Hyderabad require urgent Humanitarian support.,Hyderabad,Humanitarian,Non-Urgent
Medical emergency reported in Guwahati. Need Food & Supplies.,Guwahati,Food & Supplies,Non-Urgent
Looking for volunteers in Surat for Humanitarian help.,Surat,Humanitarian,Urgent
"Family stranded in Kolkata, require Humanitarian.",Kolkata,Humanitarian,Urgent
Children in Hyderabad require urgent Humanitarian support.,Hyderabad,Humanitarian,Urgent
Children in Guwahati require urgent Food & Supplies support.,Guwahati,Food & Supplies,Non-Urgent
"Family stranded in Itanagar, require Food & Supplies.",Itanagar,Food & Supplies,Urgent
Need immediate assistance in Vadodara. Situation critical.,Vadodara,Humanitarian,Urgent
Need immediate assistance in Warangal. Situation critical.,Warangal,Medical,Non-Urgent
Need immediate assistance in Kolkata. Situation critical.,Kolkata,Medical,Non-Urgent
Children in Mumbai require urgent Medical support.,Mumbai,Medical,Non-Urgent
Need immediate assistance in Pune. Situation critical.,Pune,Food & Supplies,Non-Urgent
Need immediate assistance in Ahmedabad. Situation critical.,Ahmedabad,Food & Supplies,Non-Urgent
Looking for volunteers in Gurugram for Food & Supplies help.,Gurugram,Food & Supplies,Urgent
Need immediate assistance in Lucknow. Situation critical.,Lucknow,Food & Supplies,Urgent
Medical emergency reported in Kochi. Need Medical.,Kochi,Medical,Non-Urgent
Requesting Humanitarian support in Kanpur. Please help.,Kanpur,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Siliguri.,Siliguri,Medical,Urgent
Urgent call for Food & Supplies aid in Kanpur.,Kanpur,Food & Supplies,Urgent
Senior citizens need Medical assistance in Coimbatore.,Coimbatore,Medical,Urgent
Children in Siliguri require urgent Humanitarian support.,Siliguri,Humanitarian,Urgent
Medical emergency reported in Nagpur. Need Medical.,Nagpur,Medical,Non-Urgent
Senior citizens need Medical assistance in Delhi.,Delhi,Medical,Non-Urgent
Medical emergency reported in Chandigarh. Need Humanitarian.,Chandigarh,Humanitarian,Urgent
Looking for volunteers in Aizawl for Medical help.,Aizawl,Medical,Non-Urgent
Community in Warangal asking for Medical assistance.,Warangal,Medical,Non-Urgent
"Supplies running low in Ahmedabad, need Humanitarian.",Ahmedabad,Humanitarian,Urgent
Community in Surat asking for Humanitarian assistance.,Surat,Humanitarian,Non-Urgent
Need immediate assistance in Bhopal. Situation critical.,Bhopal,Medical,Non-Urgent
Children in Guwahati require urgent Humanitarian support.,Guwahati,Humanitarian,Non-Urgent
Need immediate assistance in Gurugram. Situation critical.,Gurugram,Food & Supplies,Urgent
Medical emergency reported in Patna. Need Humanitarian.,Patna,Humanitarian,Non-Urgent
Medical emergency reported in Thiruvananthapuram. Need Medical.,Thiruvananthapuram,Medical,Urgent
Need immediate assistance in Vadodara. Situation critical.,Vadodara,Medical,Urgent
Community in Leh asking for Food & Supplies assistance.,Leh,Food & Supplies,Non-Urgent
